option_a,option_b,type,A,B_false,B_true
CHF 0.50 for sure,"If red then CHF 5, if blue then CHF 0",a,0.50,5,0
CHF 1 for sure,"If red then CHF 5, if blue then CHF 0",a,1,5,0
CHF 1.50 for sure,"If red then CHF 5, if blue then CHF 0",a,1.5,5,0
CHF 2 for sure,"If red then CHF 5, if blue then CHF 0",a,2,5,0
CHF 2.50 for sure,"If red then CHF 5, if blue then CHF 0",a,2.5,5,0
CHF 3 for sure,"If red then CHF 5, if blue then CHF 0",a,3,5,0
CHF 3.50 for sure,"If red then CHF 5, if blue then CHF 0",a,3.5,5,0
CHF 4 for sure,"If red then CHF 5, if blue then CHF 0",a,4,5,0
CHF 4.50 for sure,"If red then CHF 5, if blue then CHF 0",a,4.5,5,0
CHF 5 for sure,"If red then CHF 5, if blue then CHF 0",a,5,5,0
CHF 0 for sure,"If red then CHF -1, if blue then CHF 5",b,0,-1,5
CHF 0 for sure,"If red then CHF -2, if blue then CHF 5",b,0,-2,5
CHF 0 for sure,"If red then CHF -3, if blue then CHF 5",b,0,-3,5
CHF 0 for sure,"If red then CHF -4, if blue then CHF 5",b,0,-4,5
CHF 0 for sure,"If red then CHF -5, if blue then CHF 5",b,0,-5,5
CHF 0 for sure,"If red then CHF -6, if blue then CHF 5",b,0,-6,5
CHF 0 for sure,"If red then CHF -7, if blue then CHF 5",b,0,-7,5
CHF 0 for sure,"If red then CHF -8, if blue then CHF 5",b,0,-8,5
CHF 0 for sure,"If red then CHF -9, if blue then CHF 5",b,0,-9,5
CHF 0 for sure,"If red then CHF -10, if blue then CHF 5",b,0,-10,5
CHF -0.50 for sure,"If red then CHF -5, if blue then CHF 0",c,-0.5,-5,0
CHF -1 for sure,"If red then CHF -5, if blue then CHF 0",c,-1,-5,0
CHF -1.50 for sure,"If red then CHF -5, if blue then CHF 0",c,-1.5,-5,0
CHF -2 for sure,"If red then CHF -5, if blue then CHF 0",c,-2,-5,0
CHF -2.50 for sure,"If red then CHF -5, if blue then CHF 0",c,-2.5,-5,0
CHF -3 for sure,"If red then CHF -5, if blue then CHF 0",c,-3,-5,0
CHF -3.50 for sure,"If red then CHF -5, if blue then CHF 0",c,-3.5,-5,0
CHF -4 for sure,"If red then CHF -5, if blue then CHF 0",c,-4,-5,0
CHF -4.50 for sure,"If red then CHF -5, if blue then CHF 0",c,-4.5,-5,0
CHF -5 for sure,"If red then CHF -5, if blue then CHF 0",c,-5,-5,0
