option_a,option_b,type
CHF 0.50 for sure,"If red then CHF 5, if blue then CHF 0",a
CHF 1 for sure,"If red then CHF 5, if blue then CHF 0",a
CHF 1.50 for sure,"If red then CHF 5, if blue then CHF 0",a
CHF 2 for sure,"If red then CHF 5, if blue then CHF 0",a
CHF 2.50 for sure,"If red then CHF 5, if blue then CHF 0",a
CHF 3 for sure,"If red then CHF 5, if blue then CHF 0",a
CHF 3.50 for sure,"If red then CHF 5, if blue then CHF 0",a
CHF 4 for sure,"If red then CHF 5, if blue then CHF 0",a
CHF 4.50 for sure,"If red then CHF 5, if blue then CHF 0",a
CHF 5 for sure,"If red then CHF 5, if blue then CHF 0",a
CHF 0 for sure,"If red then CHF -1, if blue then CHF 5",b
CHF 0 for sure,"If red then CHF -2, if blue then CHF 5",b
CHF 0 for sure,"If red then CHF -3, if blue then CHF 5",b
CHF 0 for sure,"If red then CHF -4, if blue then CHF 5",b
CHF 0 for sure,"If red then CHF -5, if blue then CHF 5",b
CHF 0 for sure,"If red then CHF -6, if blue then CHF 5",b
CHF 0 for sure,"If red then CHF -7, if blue then CHF 5",b
CHF 0 for sure,"If red then CHF -8, if blue then CHF 5",b
CHF 0 for sure,"If red then CHF -9, if blue then CHF 5",b
CHF 0 for sure,"If red then CHF -10, if blue then CHF 5",b
CHF -0.50 for sure,"If red then CHF -5, if blue then CHF 0",c
CHF -1 for sure,"If red then CHF -5, if blue then CHF 0",c
CHF -1.50 for sure,"If red then CHF -5, if blue then CHF 0",c
CHF -2 for sure,"If red then CHF -5, if blue then CHF 0",c
CHF -2.50 for sure,"If red then CHF -5, if blue then CHF 0",c
CHF -3 for sure,"If red then CHF -5, if blue then CHF 0",c
CHF -3.50 for sure,"If red then CHF -5, if blue then CHF 0",c
CHF -4 for sure,"If red then CHF -5, if blue then CHF 0",c
CHF -4.50 for sure,"If red then CHF -5, if blue then CHF 0",c
CHF -5 for sure,"If red then CHF -5, if blue then CHF 0",c
